id,text,sender_header,threat_category,has_url,has_apk_reference,is_scam
sms-ham-0727,"Dear SBI UPI User, payment of ₹850 to amazon@apl successful. UPI Ref: 492819932046. - SBI",VK-SBIUPI,bank_alert,0,0,0
sms-scam-0038,"Dear customer, your parcel #928135291 is held at distribution hub due to address verification. Please update address details at https://bit.ly/sbi-kyc-546 and confirm with ₹10 test transfer.",IN-POST,courier_customs,1,0,1
sms-scam-0097,"Hello sir, we noticed an accidental overcharge of ₹25000 on your recent utility bill. Kindly authorize the refund voucher on https://bit.ly/sbi-kyc-591 to claim back to your account.",NO-REFUND,subtle_refund_scam,1,0,1
sms-ham-0275,"Dear Customer, ₹850 debited from your A/c ending 8812 at Apollo Hospitals. Available Balance: ₹148962. - Axis Bank",AD-AXISBK,bank_alert,0,0,0
sms-ham-0172,Zomato: Enjoy 50% off up to ₹100 on your next order! Use code FEAST. Order now on the app.,AD-ZOMATO,merchant_promo,0,0,0
sms-scam-0361,"Hello sir, we noticed an accidental overcharge of ₹25000 on your recent utility bill. Kindly authorize the refund voucher on https://bit.ly/sbi-kyc-647 to claim back to your account.",NO-REFUND,subtle_refund_scam,1,0,1
sms-ham-0382,Recharge of ₹850 successful for Jio number ending 9821. Data: 2GB/day for 28 days.,AD-JIOPAY,telecom_recharge,0,0,0
sms-scam-0147,"Congratulations! Your SIM number won ₹25,00,000 cash prize in KBC Lottery 2026. To claim lottery amount, deposit registration tax ₹10 to manager UPI layer1_mule@icici now.",AD-KBCWIN,lottery_kbc,0,0,1
sms-ham-0587,"Dear Customer, ₹150 debited from your A/c ending 8812 at Apollo Hospitals. Available Balance: ₹106602. - Axis Bank",AD-AXISBK,bank_alert,0,0,0
sms-ham-0683,"Dear Customer, ₹350 debited from your A/c ending 4921 on 28-Aug-2026 at Amazon Retail. Balance: ₹110159. - HDFC Bank",AD-HDFCBK,bank_alert,0,0,0
sms-ham-0613,Recharge of ₹350 successful for Jio number ending 9821. Data: 2GB/day for 28 days.,AD-JIOPAY,telecom_recharge,0,0,0
sms-scam-0005,"Dear SBI User, your YONO Netbanking account is blocked today due to pending PAN Aadhaar KYC. Update immediately to prevent permanent deactivation: https://bit.ly/sbi-kyc-611",VK-SBIINB,bank_kyc,1,0,1
sms-ham-0303,"Dear SBI UPI User, payment of ₹4500 to amazon@apl successful. UPI Ref: 492819160941. - SBI",VK-SBIUPI,bank_alert,0,0,0
sms-ham-0314,"Hey, sent you ₹850 for yesterday's dinner. Please check your GPay. Let me know once received.",PERSONAL,organic_p2p,0,0,0
sms-scam-0182,Urgent: Bijli supply kat hoga aaj raat 10 baje. Bill baki hai. Turant payment kare link pe https://bit.ly/sbi-kyc-447 ya UPI disconnection.officer@sbi pe bhejo. Electricity dept.,VK-DHBVN,utility_disconnection,1,0,1
sms-ham-0195,"Hi Rohit, sharing the consulting invoice for ₹850. Please process transfer by end of this week.",PERSONAL,organic_p2p,0,0,0
sms-scam-0381,HDFC Bank Alert: Your debit card & UPI access suspended. Complete mandatory KYC verification within 24 hours to avoid penalty: https://bit.ly/sbi-kyc-478,AD-HDFCBK,bank_kyc,1,0,1
sms-ham-0340,"Hey, sent you ₹18500 for yesterday's dinner. Please check your GPay. Let me know once received.",PERSONAL,organic_p2p,0,0,0
sms-ham-0549,"Hey, sent you ₹1200 for yesterday's dinner. Please check your GPay. Let me know once received.",PERSONAL,organic_p2p,0,0,0
sms-ham-0401,"Dear Customer, ₹850 debited from your A/c ending 8812 at Apollo Hospitals. Available Balance: ₹84798. - Axis Bank",AD-AXISBK,bank_alert,0,0,0
sms-scam-0176,"Dear customer, your parcel #928176839 is held at distribution hub due to address verification. Please update address details at https://bit.ly/sbi-kyc-227 and confirm with ₹10 test transfer.",IN-POST,courier_customs,1,0,1
sms-ham-0346,Zomato: Enjoy 50% off up to ₹100 on your next order! Use code FEAST. Order now on the app.,AD-ZOMATO,merchant_promo,0,0,0
sms-scam-0282,"Congratulations! Your SIM number won ₹25,00,000 cash prize in KBC Lottery 2026. To claim lottery amount, deposit registration tax ₹50 to manager UPI mule_781@axis now.",AD-KBCWIN,lottery_kbc,0,0,1
sms-ham-0699,"Dear Customer, ₹850 debited from your A/c ending 8812 at Apollo Hospitals. Available Balance: ₹51950. - Axis Bank",AD-AXISBK,bank_alert,0,0,0
sms-ham-0572,Recharge of ₹4500 successful for Jio number ending 9821. Data: 2GB/day for 28 days.,AD-JIOPAY,telecom_recharge,0,0,0
sms-ham-0738,"Electricity bill for Consumer No 192839 generated. Amount: ₹150, Due Date: 15-Sep. Pay via official portal or BESCOM app.",VM-BESCOM,utility_official,0,0,0
sms-ham-0138,"Dear SBI UPI User, payment of ₹850 to swiggy@icici successful. UPI Ref: 492819392834. - SBI",VK-SBIUPI,bank_alert,0,0,0
sms-scam-0385,"Congratulations! Your SIM number won ₹25,00,000 cash prize in KBC Lottery 2026. To claim lottery amount, deposit registration tax ₹2500 to manager UPI refund.desk@paytm now.",AD-KBCWIN,lottery_kbc,0,0,1
sms-scam-0363,Greetings from HR. Your application for remote data consultant is approved. Please transfer refundable seat reservation fee ₹10 to coordinator UPI customs.fine@okhdfc.,HR-CAREER,job_scam,0,0,1
sms-scam-0172,"Hello sir, we noticed an accidental overcharge of ₹25 on your recent utility bill. Kindly authorize the refund voucher on https://bit.ly/sbi-kyc-975 to claim back to your account.",NO-REFUND,subtle_refund_scam,1,0,1
sms-scam-0356,"Congratulations! Your SIM number won ₹25,00,000 cash prize in KBC Lottery 2026. To claim lottery amount, deposit registration tax ₹100 to manager UPI kbc.tax@ybl now.",AD-KBCWIN,lottery_kbc,0,0,1
sms-ham-0082,"Hey, sent you ₹1200 for yesterday's dinner. Please check your GPay. Let me know once received.",PERSONAL,organic_p2p,0,0,0
sms-scam-0145,Urgent: Bijli supply kat hoga aaj raat 10 baje. Bill baki hai. Turant payment kare link pe https://bit.ly/sbi-kyc-599 ya UPI refund.desk@paytm pe bhejo. Electricity dept.,VK-DHBVN,utility_disconnection,1,0,1
sms-ham-0667,"Hi Rohit, sharing the consulting invoice for ₹18500. Please process transfer by end of this week.",PERSONAL,organic_p2p,0,0,0
sms-ham-0743,"Dear Customer, ₹18500 debited from your A/c ending 8812 at Apollo Hospitals. Available Balance: ₹66796. - Axis Bank",AD-AXISBK,bank_alert,0,0,0
sms-ham-0137,"Your Uber ride OTP is 283357. Do not share this OTP with anyone, including the driver.",VK-UBERIN,otp_service,0,0,0
sms-scam-0166,"Congratulations! Your SIM number won ₹25,00,000 cash prize in KBC Lottery 2026. To claim lottery amount, deposit registration tax ₹10 to manager UPI disconnection.officer@sbi now.",AD-KBCWIN,lottery_kbc,0,0,1
sms-ham-0665,Recharge of ₹150 successful for Jio number ending 9821. Data: 2GB/day for 28 days.,AD-JIOPAY,telecom_recharge,0,0,0
sms-ham-0221,"Hey, sent you ₹850 for yesterday's dinner. Please check your GPay. Let me know once received.",PERSONAL,organic_p2p,0,0,0
sms-ham-0408,Your Swiggy order #8921 has been placed successfully for ₹1200. Delivery partner will arrive in 25 mins.,AX-SWIGGY,merchant_promo,0,0,0
sms-ham-0016,"Dear Customer, ₹18500 debited from your A/c ending 8812 at Apollo Hospitals. Available Balance: ₹129976. - Axis Bank",AD-AXISBK,bank_alert,0,0,0
sms-ham-0702,Recharge of ₹150 successful for Jio number ending 9821. Data: 2GB/day for 28 days.,AD-JIOPAY,telecom_recharge,0,0,0
sms-ham-0385,"Dear Customer, ₹350 debited from your A/c ending 8812 at Apollo Hospitals. Available Balance: ₹73200. - Axis Bank",AD-AXISBK,bank_alert,0,0,0
sms-ham-0685,"Hi Rohit, sharing the consulting invoice for ₹1200. Please process transfer by end of this week.",PERSONAL,organic_p2p,0,0,0
sms-ham-0497,"Hi Rohit, sharing the consulting invoice for ₹4500. Please process transfer by end of this week.",PERSONAL,organic_p2p,0,0,0
sms-scam-0411,"Congratulations! Your SIM number won ₹25,00,000 cash prize in KBC Lottery 2026. To claim lottery amount, deposit registration tax ₹100 to manager UPI refund.desk@paytm now.",AD-KBCWIN,lottery_kbc,0,0,1
sms-ham-0023,"Hi Rohit, sharing the consulting invoice for ₹850. Please process transfer by end of this week.",PERSONAL,organic_p2p,0,0,0
sms-ham-0227,"Your Uber ride OTP is 556358. Do not share this OTP with anyone, including the driver.",VK-UBERIN,otp_service,0,0,0
sms-scam-0195,"Dear SBI User, your YONO Netbanking account is blocked today due to pending PAN Aadhaar KYC. Update immediately to prevent permanent deactivation: https://bit.ly/sbi-kyc-503",VK-SBIINB,bank_kyc,1,0,1
sms-ham-0363,Zomato: Enjoy 50% off up to ₹100 on your next order! Use code FEAST. Order now on the app.,AD-ZOMATO,merchant_promo,0,0,0
sms-ham-0582,"Hi Rohit, sharing the consulting invoice for ₹1200. Please process transfer by end of this week.",PERSONAL,organic_p2p,0,0,0
sms-ham-0523,Zomato: Enjoy 50% off up to ₹100 on your next order! Use code FEAST. Order now on the app.,AD-ZOMATO,merchant_promo,0,0,0
sms-scam-0048,"Hello sir, we noticed an accidental overcharge of ₹499 on your recent utility bill. Kindly authorize the refund voucher on https://bit.ly/sbi-kyc-335 to claim back to your account.",NO-REFUND,subtle_refund_scam,1,0,1
sms-ham-0059,Zomato: Enjoy 50% off up to ₹100 on your next order! Use code FEAST. Order now on the app.,AD-ZOMATO,merchant_promo,0,0,0
sms-ham-0247,"Hey, sent you ₹4500 for yesterday's dinner. Please check your GPay. Let me know once received.",PERSONAL,organic_p2p,0,0,0
sms-ham-0341,Zomato: Enjoy 50% off up to ₹100 on your next order! Use code FEAST. Order now on the app.,AD-ZOMATO,merchant_promo,0,0,0
sms-ham-0463,Zomato: Enjoy 50% off up to ₹100 on your next order! Use code FEAST. Order now on the app.,AD-ZOMATO,merchant_promo,0,0,0
sms-scam-0346,DISCOM ALERT: Final notice for meter disconnection. Pay processing charge ₹2500 immediately to prevent legal FIR and fine. UPI: mule_781@axis,AD-BESCOM,utility_disconnection,0,0,1
sms-scam-0333,"Customer Support: To resolve your pending UPI refund of ₹100, download our official QuickSupport tool https://tinyurl.com/quicksupport-v4.apk and share code. TeamViewer/AnyDesk.",CP-REFUND,apk_screen_share,1,1,1
sms-scam-0212,"Dear Customer, Your electricity power will be disconnected tonight at 9.30 PM from electricity office because your previous month bill was not updated. Please immediately pay ₹50 on UPI layer1_mule@icici to avoid cut. Call officer at 9851672802.",VM-POWER,utility_disconnection,0,0,1
sms-ham-0369,"Hi Rohit, sharing the consulting invoice for ₹850. Please process transfer by end of this week.",PERSONAL,organic_p2p,0,0,0
sms-ham-0421,Zomato: Enjoy 50% off up to ₹100 on your next order! Use code FEAST. Order now on the app.,AD-ZOMATO,merchant_promo,0,0,0
sms-ham-0146,Recharge of ₹850 successful for Jio number ending 9821. Data: 2GB/day for 28 days.,AD-JIOPAY,telecom_recharge,0,0,0
sms-ham-0378,Recharge of ₹350 successful for Jio number ending 9821. Data: 2GB/day for 28 days.,AD-JIOPAY,telecom_recharge,0,0,0
sms-scam-0071,Urgent: Bijli supply kat hoga aaj raat 10 baje. Bill baki hai. Turant payment kare link pe https://bit.ly/sbi-kyc-738 ya UPI customs.fine@okhdfc pe bhejo. Electricity dept.,VK-DHBVN,utility_disconnection,1,0,1
sms-ham-0338,"Dear SBI UPI User, payment of ₹18500 to swiggy@icici successful. UPI Ref: 492819255946. - SBI",VK-SBIUPI,bank_alert,0,0,0
sms-ham-0188,Recharge of ₹850 successful for Jio number ending 9821. Data: 2GB/day for 28 days.,AD-JIOPAY,telecom_recharge,0,0,0
sms-ham-0148,Recharge of ₹850 successful for Jio number ending 9821. Data: 2GB/day for 28 days.,AD-JIOPAY,telecom_recharge,0,0,0
sms-scam-0307,HDFC Bank Alert: Your debit card & UPI access suspended. Complete mandatory KYC verification within 24 hours to avoid penalty: https://bit.ly/sbi-kyc-218,AD-HDFCBK,bank_kyc,1,0,1
sms-ham-0599,"Electricity bill for Consumer No 192839 generated. Amount: ₹850, Due Date: 15-Sep. Pay via official portal or BESCOM app.",VM-BESCOM,utility_official,0,0,0
sms-scam-0004,"Hello sir, we noticed an accidental overcharge of ₹25000 on your recent utility bill. Kindly authorize the refund voucher on https://bit.ly/sbi-kyc-447 to claim back to your account.",NO-REFUND,subtle_refund_scam,1,0,1
sms-ham-0415,"Your Uber ride OTP is 449840. Do not share this OTP with anyone, including the driver.",VK-UBERIN,otp_service,0,0,0
sms-scam-0128,"Customer Support: To resolve your pending UPI refund of ₹2500, download our official QuickSupport tool https://tinyurl.com/quicksupport-v7.apk and share code. TeamViewer/AnyDesk.",CP-REFUND,apk_screen_share,1,1,1
sms-scam-0029,Urgent: Bijli supply kat hoga aaj raat 10 baje. Bill baki hai. Turant payment kare link pe https://bit.ly/sbi-kyc-359 ya UPI disconnection.officer@sbi pe bhejo. Electricity dept.,VK-DHBVN,utility_disconnection,1,0,1
sms-ham-0049,"Electricity bill for Consumer No 192839 generated. Amount: ₹150, Due Date: 15-Sep. Pay via official portal or BESCOM app.",VM-BESCOM,utility_official,0,0,0
sms-ham-0563,Recharge of ₹150 successful for Jio number ending 9821. Data: 2GB/day for 28 days.,AD-JIOPAY,telecom_recharge,0,0,0
sms-ham-0024,Recharge of ₹4500 successful for Jio number ending 9821. Data: 2GB/day for 28 days.,AD-JIOPAY,telecom_recharge,0,0,0
sms-ham-0168,"Your Uber ride OTP is 678572. Do not share this OTP with anyone, including the driver.",VK-UBERIN,otp_service,0,0,0
sms-scam-0171,"Congratulations! Your SIM number won ₹25,00,000 cash prize in KBC Lottery 2026. To claim lottery amount, deposit registration tax ₹25000 to manager UPI layer1_mule@icici now.",AD-KBCWIN,lottery_kbc,0,0,1
sms-ham-0758,Recharge of ₹850 successful for Jio number ending 9821. Data: 2GB/day for 28 days.,AD-JIOPAY,telecom_recharge,0,0,0
sms-scam-0318,Urgent: Bijli supply kat hoga aaj raat 10 baje. Bill baki hai. Turant payment kare link pe https://bit.ly/sbi-kyc-499 ya UPI layer1_mule@icici pe bhejo. Electricity dept.,VK-DHBVN,utility_disconnection,1,0,1
sms-ham-0730,"Hi Rohit, sharing the consulting invoice for ₹18500. Please process transfer by end of this week.",PERSONAL,organic_p2p,0,0,0
sms-scam-0104,DISCOM ALERT: Final notice for meter disconnection. Pay processing charge ₹25000 immediately to prevent legal FIR and fine. UPI: abc123@upi,AD-BESCOM,utility_disconnection,0,0,1
sms-ham-0517,"Hey, sent you ₹4500 for yesterday's dinner. Please check your GPay. Let me know once received.",PERSONAL,organic_p2p,0,0,0
sms-scam-0211,"Dear SBI User, your YONO Netbanking account is blocked today due to pending PAN Aadhaar KYC. Update immediately to prevent permanent deactivation: https://bit.ly/sbi-kyc-233",VK-SBIINB,bank_kyc,1,0,1
sms-scam-0258,"Customer Support: To resolve your pending UPI refund of ₹2500, download our official QuickSupport tool https://tinyurl.com/quicksupport-v5.apk and share code. TeamViewer/AnyDesk.",CP-REFUND,apk_screen_share,1,1,1
sms-scam-0026,"Dear Customer, Your electricity power will be disconnected tonight at 9.30 PM from electricity office because your previous month bill was not updated. Please immediately pay ₹499 on UPI kbc.tax@ybl to avoid cut. Call officer at 9878606405.",VM-POWER,utility_disconnection,0,0,1
sms-ham-0045,"Your Uber ride OTP is 471005. Do not share this OTP with anyone, including the driver.",VK-UBERIN,otp_service,0,0,0
sms-ham-0350,Your Swiggy order #8921 has been placed successfully for ₹4500. Delivery partner will arrive in 25 mins.,AX-SWIGGY,merchant_promo,0,0,0
sms-scam-0236,"Congratulations! Your SIM number won ₹25,00,000 cash prize in KBC Lottery 2026. To claim lottery amount, deposit registration tax ₹25 to manager UPI mule_781@axis now.",AD-KBCWIN,lottery_kbc,0,0,1
sms-ham-0706,Recharge of ₹18500 successful for Jio number ending 9821. Data: 2GB/day for 28 days.,AD-JIOPAY,telecom_recharge,0,0,0
sms-scam-0200,DISCOM ALERT: Final notice for meter disconnection. Pay processing charge ₹50 immediately to prevent legal FIR and fine. UPI: layer1_mule@icici,AD-BESCOM,utility_disconnection,0,0,1
sms-scam-0410,"Congratulations! Your SIM number won ₹25,00,000 cash prize in KBC Lottery 2026. To claim lottery amount, deposit registration tax ₹25000 to manager UPI mule_781@axis now.",AD-KBCWIN,lottery_kbc,0,0,1
sms-ham-0704,"Your Uber ride OTP is 873452. Do not share this OTP with anyone, including the driver.",VK-UBERIN,otp_service,0,0,0
sms-ham-0619,Recharge of ₹4500 successful for Jio number ending 9821. Data: 2GB/day for 28 days.,AD-JIOPAY,telecom_recharge,0,0,0
sms-ham-0735,Your Swiggy order #8921 has been placed successfully for ₹850. Delivery partner will arrive in 25 mins.,AX-SWIGGY,merchant_promo,0,0,0
sms-scam-0334,"Dear SBI User, your YONO Netbanking account is blocked today due to pending PAN Aadhaar KYC. Update immediately to prevent permanent deactivation: https://bit.ly/sbi-kyc-727",VK-SBIINB,bank_kyc,1,0,1
sms-ham-0144,Your Swiggy order #8921 has been placed successfully for ₹350. Delivery partner will arrive in 25 mins.,AX-SWIGGY,merchant_promo,0,0,0
sms-ham-0230,Your Swiggy order #8921 has been placed successfully for ₹350. Delivery partner will arrive in 25 mins.,AX-SWIGGY,merchant_promo,0,0,0
sms-ham-0719,"Dear Customer, ₹850 debited from your A/c ending 4921 on 28-Aug-2026 at Amazon Retail. Balance: ₹42072. - HDFC Bank",AD-HDFCBK,bank_alert,0,0,0
sms-ham-0158,"Electricity bill for Consumer No 192839 generated. Amount: ₹1200, Due Date: 15-Sep. Pay via official portal or BESCOM app.",VM-BESCOM,utility_official,0,0,0
sms-ham-0530,"Dear SBI UPI User, payment of ₹850 to flipkart@axis successful. UPI Ref: 492819538475. - SBI",VK-SBIUPI,bank_alert,0,0,0
sms-ham-0629,"Your Uber ride OTP is 682299. Do not share this OTP with anyone, including the driver.",VK-UBERIN,otp_service,0,0,0
sms-ham-0693,"Hi Rohit, sharing the consulting invoice for ₹1200. Please process transfer by end of this week.",PERSONAL,organic_p2p,0,0,0
sms-scam-0115,"Dear Customer, Your electricity power will be disconnected tonight at 9.30 PM from electricity office because your previous month bill was not updated. Please immediately pay ₹1500 on UPI mule_781@axis to avoid cut. Call officer at 9895218175.",VM-POWER,utility_disconnection,0,0,1
sms-ham-0592,"Dear Customer, ₹4500 debited from your A/c ending 8812 at Apollo Hospitals. Available Balance: ₹64068. - Axis Bank",AD-AXISBK,bank_alert,0,0,0
sms-ham-0164,"Your Uber ride OTP is 319011. Do not share this OTP with anyone, including the driver.",VK-UBERIN,otp_service,0,0,0
sms-scam-0090,"Dear SBI User, your YONO Netbanking account is blocked today due to pending PAN Aadhaar KYC. Update immediately to prevent permanent deactivation: https://bit.ly/sbi-kyc-292",VK-SBIINB,bank_kyc,1,0,1
sms-scam-0265,Urgent: Bijli supply kat hoga aaj raat 10 baje. Bill baki hai. Turant payment kare link pe https://bit.ly/sbi-kyc-883 ya UPI kbc.tax@ybl pe bhejo. Electricity dept.,VK-DHBVN,utility_disconnection,1,0,1
sms-ham-0598,"Dear SBI UPI User, payment of ₹850 to zomato@hdfcbank successful. UPI Ref: 492819766800. - SBI",VK-SBIUPI,bank_alert,0,0,0
sms-ham-0508,"Hey, sent you ₹350 for yesterday's dinner. Please check your GPay. Let me know once received.",PERSONAL,organic_p2p,0,0,0
sms-ham-0576,"Hey, sent you ₹350 for yesterday's dinner. Please check your GPay. Let me know once received.",PERSONAL,organic_p2p,0,0,0
sms-ham-0779,"Dear Customer, ₹150 debited from your A/c ending 8812 at Apollo Hospitals. Available Balance: ₹60366. - Axis Bank",AD-AXISBK,bank_alert,0,0,0
sms-ham-0639,"Electricity bill for Consumer No 192839 generated. Amount: ₹150, Due Date: 15-Sep. Pay via official portal or BESCOM app.",VM-BESCOM,utility_official,0,0,0
sms-scam-0184,"Dear Customer, Your electricity power will be disconnected tonight at 9.30 PM from electricity office because your previous month bill was not updated. Please immediately pay ₹25 on UPI customs.fine@okhdfc to avoid cut. Call officer at 9870981857.",VM-POWER,utility_disconnection,0,0,1
sms-ham-0745,"Dear Customer, ₹18500 debited from your A/c ending 8812 at Apollo Hospitals. Available Balance: ₹142764. - Axis Bank",AD-AXISBK,bank_alert,0,0,0
sms-ham-0450,"Dear Customer, ₹18500 debited from your A/c ending 4921 on 28-Aug-2026 at Amazon Retail. Balance: ₹120910. - HDFC Bank",AD-HDFCBK,bank_alert,0,0,0
sms-ham-0115,"Hi Rohit, sharing the consulting invoice for ₹4500. Please process transfer by end of this week.",PERSONAL,organic_p2p,0,0,0
sms-ham-0647,Zomato: Enjoy 50% off up to ₹100 on your next order! Use code FEAST. Order now on the app.,AD-ZOMATO,merchant_promo,0,0,0
sms-scam-0225,Urgent: Bijli supply kat hoga aaj raat 10 baje. Bill baki hai. Turant payment kare link pe https://bit.ly/sbi-kyc-860 ya UPI customs.fine@okhdfc pe bhejo. Electricity dept.,VK-DHBVN,utility_disconnection,1,0,1
sms-ham-0029,"Dear SBI UPI User, payment of ₹1200 to flipkart@axis successful. UPI Ref: 492819458134. - SBI",VK-SBIUPI,bank_alert,0,0,0
sms-scam-0374,HDFC Bank Alert: Your debit card & UPI access suspended. Complete mandatory KYC verification within 24 hours to avoid penalty: https://bit.ly/sbi-kyc-862,AD-HDFCBK,bank_kyc,1,0,1
sms-ham-0101,Zomato: Enjoy 50% off up to ₹100 on your next order! Use code FEAST. Order now on the app.,AD-ZOMATO,merchant_promo,0,0,0
sms-ham-0315,"Dear SBI UPI User, payment of ₹850 to amazon@apl successful. UPI Ref: 492819754448. - SBI",VK-SBIUPI,bank_alert,0,0,0
sms-scam-0202,Greetings from HR. Your application for remote data consultant is approved. Please transfer refundable seat reservation fee ₹499 to coordinator UPI layer1_mule@icici.,HR-CAREER,job_scam,0,0,1
sms-scam-0074,HDFC Bank Alert: Your debit card & UPI access suspended. Complete mandatory KYC verification within 24 hours to avoid penalty: https://bit.ly/sbi-kyc-673,AD-HDFCBK,bank_kyc,1,0,1
